x,y
2.2483570765056164,0.0
1.9308678494144076,0.0
2.3238442690503462,0.0
2.761514928204013,0.0
1.882923312638332,0.0
1.8829315215254097,0.0
2.7896064077536957,0.0
2.3837173645764542,0.0
1.765262807032524,0.0
2.2712800217929825,0.0
1.7682911535937689,0.0
1.7671351232148715,0.0
2.1209811357830173,0.0
1.043359877671101,0.0
1.1375410837434836,0.0
1.7188562353795136,0.0
1.4935844398327882,0.0
2.157123666297637,0.0
1.5459879622393946,0.0
1.2938481493323541,0.0
2.732824384460777,0.0
1.887111849756732,0.0
2.033764102343962,0.0
1.2876259068932716,0.0
1.7278086377374087,0.0
2.055461294854933,0.0
1.4245032112888487,0.0
2.1878490091728358,0.0
1.6996806550405976,0.0
1.8541531251033616,0.0
1.6991466938853015,0.0
2.926139092254469,0.0
1.993251387631033,0.0
1.4711445355220498,0.0
2.4112724560515946,0.0
1.3895781750144889,0.0
2.104431797502378,0.0
1.020164938060112,0.0
1.3359069755507846,0.0
2.0984306179345618,0.0
2.3692332899977053,0.0
2.085684140594985,0.0
1.9421758588058797,0.0
1.8494481522053556,0.0
1.2607390048162863,0.0
1.6400778958026456,0.0
1.7696806145201063,0.0
2.5285611131094576,0.0
2.1718091447842305,0.0
1.118479922318633,0.0
3.1620419846973977,1.0
2.8074588597918417,1.0
2.6615389998470205,1.0
3.305838144420434,1.0
3.5154997612479755,1.0
3.4656400595580994,1.0
2.580391238388681,1.0
2.8453938120743927,1.0
3.165631715701782,1.0
3.4877725635611796,1.0
2.760412881077355,1.0
2.9071705116680913,1.0
2.446832512996986,1.0
2.4018966879596646,1.0
3.406262911197099,1.0
3.6781200142854114,1.0
2.963994939209833,1.0
3.501766448946012,1.0
3.180818012523817,1.0
2.677440122697438,1.0
3.180697802754207,1.0
3.7690182832329846,1.0
2.982086980445024,1.0
3.782321827907003,1.0
1.6901274479551278,1.0
3.410951252187612,1.0
3.043523534119086,1.0
2.8504963247670663,1.0
3.045880388267751,1.0
2.006215542699554,1.0
2.890164056081244,1.0
3.178556285755873,1.0
3.738947022370758,1.0
2.7408648908631763,1.0
2.5957531985534064,1.0
2.749121478207732,1.0
3.457701058851037,1.0
3.1643755548298422,1.0
2.735119898116481,1.0
3.256633716556678,1.0
3.0485387746740202,1.0
3.4843224952664444,1.0
2.648973453061324,1.0
2.836168926701116,1.0
2.803945923433921,1.0
2.2682425259339407,1.0
3.148060138532288,1.0
3.1305276360899446,1.0
3.0025567283212307,1.0
2.8827064333124266,1.0
20.0,1.0
